                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.27753,                 4.0561,                0.32537,                0.23131,                0.91209,                0.99826,                      1,                  0.995,                0.98711,                0.86515,                0.86667,                0.80344,                0.24236,                0.29544,                  3.338,                0.37982,                0.27301,                0.59056,              0.0008714,              0.0008714,              0.0008714
                     59,                0.27189,                 4.2203,                0.29745,                0.22923,                0.91005,                0.99825,                      1,                  0.995,                0.98721,                 0.7986,                    0.8,                0.73136,                0.25913,                0.27052,                 3.3269,                0.39695,                0.25084,                0.56814,              0.0008516,              0.0008516,              0.0008516
                     60,                0.27764,                  4.094,                0.30208,                0.23421,                0.91558,                0.99826,                      1,                  0.995,                0.98781,                 0.7986,                    0.8,                0.73714,                0.31067,                0.26548,                 3.4526,                0.38101,                0.23995,                0.56354,              0.0008318,              0.0008318,              0.0008318
                     61,                0.26277,                  3.772,                0.30242,                0.22828,                0.90825,                0.99827,                      1,                  0.995,                0.99188,                  0.965,                0.96667,                0.96617,                0.42161,                0.28373,                 2.6012,                0.38034,                0.25984,                0.57643,               0.000812,               0.000812,               0.000812
                     62,                0.26978,                 3.5637,                0.30436,                0.22798,                0.90705,                0.99828,                      1,                  0.995,                0.98925,                0.86515,                0.86667,                0.79636,                0.22385,                0.28845,                 3.0065,                0.36814,                 0.2665,                 0.6001,              0.0007922,              0.0007922,              0.0007922
                     63,                0.25477,                 3.8788,                0.30203,                0.23468,                0.91097,                0.99829,                      1,                  0.995,                0.98113,                0.99829,                      1,                  0.995,                0.42062,                0.30302,                 2.4698,                0.37068,                0.26507,                 0.6053,              0.0007724,              0.0007724,              0.0007724
                     64,                0.25715,                 3.6698,                0.30577,                0.22004,                0.90967,                0.99827,                      1,                  0.995,                0.98203,                0.99827,                      1,                  0.995,                0.50231,                0.27623,                 2.2764,                0.36688,                0.25459,                 0.5904,              0.0007526,              0.0007526,              0.0007526
                     65,                0.26813,                  3.503,                0.30981,                0.22657,                  0.916,                0.99827,                      1,                  0.995,                0.97723,                0.99827,                      1,                  0.995,                 0.4236,                0.27782,                 2.3876,                0.37288,                0.24713,                0.60275,              0.0007328,              0.0007328,              0.0007328
                     66,                0.25756,                 3.5201,                0.31014,                0.21637,                0.89816,                0.99828,                      1,                  0.995,                0.97972,                 0.9317,                0.93333,                 0.9095,                0.47319,                0.29003,                 2.6921,                 0.3681,                0.25315,                0.60703,               0.000713,               0.000713,               0.000713
                     67,                0.27108,                 3.3373,                0.30886,                0.22607,                 0.9105,                0.99827,                      1,                  0.995,                0.98871,                0.96499,                0.96667,                0.95225,                0.52951,                 0.2708,                 2.2837,                0.37476,                0.24225,                0.58729,              0.0006932,              0.0006932,              0.0006932
                     68,                0.26832,                 3.5718,                0.31615,                 0.2222,                0.91115,                0.99828,                      1,                  0.995,                0.99102,                0.93173,                0.93333,                0.90745,                 0.4718,                0.27975,                 2.5513,                0.35753,                0.25823,                0.60862,              0.0006734,              0.0006734,              0.0006734
                     69,                0.26796,                 3.4007,                0.29807,                0.22273,                0.91407,                0.99825,                      1,                  0.995,                0.99118,                 0.9317,                0.93333,                0.91123,                0.41176,                0.27522,                 2.6687,                0.36368,                0.24884,                0.59742,              0.0006536,              0.0006536,              0.0006536
                     70,                0.27171,                 3.3729,                0.30388,                0.22674,                0.91345,                0.99826,                      1,                  0.995,                0.98796,                0.99826,                      1,                  0.995,                0.48386,                0.27014,                  2.458,                0.38239,                0.24492,                0.56544,              0.0006338,              0.0006338,              0.0006338
                     71,                0.25995,                 3.3511,                0.30761,                0.22866,                0.90558,                0.99828,                      1,                  0.995,                0.98994,                  0.965,                0.96667,                0.96444,                0.45919,                0.25492,                 2.5455,                0.37818,                0.23137,                0.55015,               0.000614,               0.000614,               0.000614
                     72,                0.25559,                 3.2141,                0.29503,                0.21101,                0.91172,                0.99829,                      1,                  0.995,                0.98776,                0.99829,                      1,                  0.995,                0.45349,                0.24763,                 2.3363,                0.37063,                0.23416,                0.56169,              0.0005942,              0.0005942,              0.0005942
